channel,frequency,amplitude,offset,phase,waveform_type,activeTime,settlingTime
1,50.0,2.5,2.5,0.0,SINE,22.0,3.0
2,100.0,2.5,2.5,0.0,SINE,22.0,3.0
3,200.0,2.5,2.5,0.0,SINE,22.0,3.0
1,50.0,2.5,2.5,0.0,SINE,22.0,3.0
2,100.0,2.5,2.5,0.0,SINE,22.0,3.0
3,200.0,2.5,2.5,0.0,SINE,22.0,3.0
