channel,frequency,amplitude,offset,phase,waveform_type,activeTime,settlingTime
1,200.0,2.5,2.5,0.0,SINE,23.0,3.0
2,400.0,2.5,2.5,0.0,SINE,23.0,3.0
3,800.0,2.5,2.5,0.0,SINE,23.0,3.0
1,200.0,2.5,2.5,0.0,SINE,23.0,3.0
2,400.0,2.5,2.5,0.0,SINE,23.0,3.0
3,800.0,2.5,2.5,0.0,SINE,23.0,3.0
