channel,frequency,amplitude,offset,phase,waveform_type,activeTime,settlingTime
1,10.0,2.5,2.5,0.0,SINE,11.0,3.0
2,100.0,2.5,2.5,0.0,SINE,11.0,3.0
3,1000.0,2.5,2.5,0.0,SINE,11.0,3.0
1,10.0,2.5,2.5,0.0,SINE,11.0,3.0
2,100.0,2.5,2.5,0.0,SINE,11.0,3.0
3,1000.0,2.5,2.5,0.0,SINE,11.0,3.0
