channel,frequency,amplitude,offset,phase,waveform_type
1,10000.0,5.0,4.0,0.0,SINE
2,10000.0,5.0,3.5,0.0,SINE
3,10000.0,5.0,3.5,0.0,SINE
1,10000.0,5.0,3.5,0.0,SINE
2,10000.0,5.0,3.5,0.0,SINE
3,10000.0,5.0,4.0,0.0,SINE
